Grupo Etario|CIE-10|_resultado|_k
E|N18.5|NEFROLOGIA|1.0
E|N18.6|NEFROLOGIA|1.0
E|N18.9|MF|0.0
E|N20.0|MF|0.0
E|N20.1|UROLOGIA GENERAL|1.0
E|N20.2|UROLOGIA GENERAL|1.0
E|N20.9|MF|0.0
E|N39.0|MG|0.0
E|N39.1|NEFROLOGIA|1.0
E|N39.2|NEFROLOGIA|1.0
E|N39.3|GERIATRIA|1.0
E|N39.4|UROLOGIA GENERAL|2.0
E|N39.8|MF|0.0
E|N39.9|UROLOGIA GENERAL|2.0
E|N41.0|UROLOGIA GENERAL|2.0
E|N41.1|UROLOGIA GENERAL|2.0
E|N41.3|UROLOGIA GENERAL|2.0
E|N41.8|UROLOGIA GENERAL|2.0
E|N41.9|UROLOGIA GENERAL|2.0
E|N81.0|UROLOGIA GENERAL|1.0
E|N81.1|UROLOGIA GENERAL|1.0
E|N81.2|GINECOLOGIA Y OBSTETRICIA|2.0
E|N81.3|GINECOLOGIA Y OBSTETRICIA|1.0
E|N81.4|GINECOLOGIA Y OBSTETRICIA|1.0
E|N81.5|GINECOLOGIA Y OBSTETRICIA|1.0
E|N81.6|CIRUGIA GENERAL|1.0
E|N81.8|GINECOLOGIA Y OBSTETRICIA|1.0
E|N81.9|GINECOLOGIA Y OBSTETRICIA|2.0
E|N95.0|GINECOLOGIA Y OBSTETRICIA|1.0
E|N95.1|MF|0.0
E|N95.2|MF|0.0
E|N95.3|MF|0.0
E|N95.8|MF|0.0
E|N95.9|MF|0.0
E|R51|MG|0.0
E|R10.0|CIRUGIA GENERAL|1.0
E|R10.1|MG|0.0
E|R10.2|MF|0.0
E|R10.3|MG|0.0
E|R10.4|MG|0.0
E|R73.0|MF|0.0
E|R73.9|MF|0.0
E|U07.1|MG|0.0
E|U07.2|MG|0.0
E|Z00.0|MG|0.0
E|Z00.1|MF|0.0
E|Z00.2|MF|0.0
E|Z00.3|MF|0.0
E|Z00.4|MF|0.0
E|Z00.8|MG|0.0
E|Z01.0|OFTALMOLOGIA|1.0
E|Z01.1|MF|0.0
E|Z01.3|MG|0.0
E|Z01.4|MF|0.0
E|Z01.6|MG|0.0
E|Z01.7|MG|0.0
E|Z01.8|MF|0.0
E|Z01.9|MG|0.0
E|Z03.0|MG|0.0
E|Z03.1|MF|0.0
E|Z03.3|MF|0.0
E|Z03.4|CARDIOLOGIA|1.0
E|Z03.5|MF|0.0
E|Z03.8|MG|0.0
E|Z03.9|MG|0.0
E|Z12.0|MF|0.0
E|Z12.1|MF|0.0
E|Z12.2|MF|0.0
E|Z12.3|MG|0.0
E|Z12.4|MF|0.0
E|Z12.5|MG|0.0
E|Z12.8|MF|0.0
E|Z12.9|MF|0.0
E|Z13.0|HEMATOLOGIA CLINICA|1.0
E|Z13.1|MF|0.0
E|Z13.2|MF|0.0
E|Z13.3|PSIQUIATRIA|1.0
E|Z13.5|MF|0.0
E|Z13.6|MF|0.0
E|Z13.8|MF|0.0
E|Z13.9|MF|0.0
E|Z51.1|ONCOLOGIA MEDICA|1.0
E|Z51.3|HEMATOLOGIA CLINICA|1.0
E|Z51.4|MG|0.0
E|Z51.8|MG|0.0
E|Z51.9|MG|0.0
E|Z53.0|MG|0.0
E|Z53.1|MG|0.0
E|Z53.2|MG|0.0
E|Z54.0|MF|0.0
E|Z54.1|GERIATRIA|1.0
E|Z54.4|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|Z54.7|MF|0.0
E|Z54.8|MF|0.0
E|Z54.9|MF|0.0
E|Z71.0|MG|0.0
E|Z71.1|MF|0.0
E|Z71.2|MG|0.0
E|Z71.3|MF|0.0
E|Z71.6|MF|0.0
E|Z71.8|MG|0.0
E|Z71.9|MG|0.0
E|Z75.0|MG|0.0
E|Z75.2|MG|0.0
E|Z75.8|MG|0.0
E|Z75.9|MG|0.0
E|Z95.0|CARDIOLOGIA|1.0
E|Z95.1|CARDIOLOGIA|1.0
E|Z95.2|CARDIOLOGIA|1.0
E|Z95.3|CARDIOLOGIA|1.0
E|Z95.4|CARDIOLOGIA|1.0
E|Z95.5|CARDIOLOGIA|1.0
E|Z95.8|CARDIOLOGIA|1.0
E|Z95.9|CARDIOLOGIA|1.0
E|Z96.0|UROLOGIA GENERAL|1.0
E|Z96.1|OFTALMOLOGIA|1.0
E|Z96.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0
