Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|S82.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.9|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S83.6|MF|0.0|
D|S83.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.4|MF|0.0|
D|S93.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S93.6|MF|0.0|
D|U07.1|MG|0.0|
D|U07.2|MG|0.0|
D|Z00.0|MG|0.0|
D|Z00.3|MF|0.0|
D|Z00.4|PSIQUIATRIA|1.0|
D|Z00.8|MG|0.0|
D|Z01.0|OFTALMOLOGIA|1.0|
D|Z01.1|OTORRINOLARINGOLOGIA|2.0|
D|Z01.2|MG|0.0|
D|Z01.3|MG|0.0|
D|Z01.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|Z01.6|MG|0.0|
D|Z02.2|MF|0.0|
D|Z02.4|MF|0.0|
D|Z02.7|MG|0.0|
D|Z02.8|MG|0.0|
D|Z02.9|MG|0.0|
D|Z03.0|MF|0.0|
D|Z03.1|ONCOLOGIA MEDICA|1.0|
D|Z03.2|PSIQUIATRIA|1.0|
D|Z03.3|MF|0.0|
D|Z03.4|CARDIOLOGIA|1.0|
D|Z03.5|MF|0.0|
D|Z03.8|MF|0.0|
