Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|S80.7|MG|0.0|
C|S80.8|MG|0.0|
C|S80.9|MG|0.0|
C|S82.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S82.9|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S83.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S93.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|T93.0|MF|0.0|
C|T93.1|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.2|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.3|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.5|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.6|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.8|MEDICINA FISICA Y REHABILITACION|1.0|
C|T93.9|MEDICINA FISICA Y REHABILITACION|1.0|
C|U07.1|MF|0.0|
C|U07.2|MF|0.0|
C|Z00.0|MG|0.0|
C|Z00.4|PSIQUIATRIA|1.0|
C|Z00.8|MG|0.0|
C|Z01.0|OFTALMOLOGIA|1.0|
C|Z01.1|OTORRINOLARINGOLOGIA|1.0|
C|Z01.3|MG|0.0|
C|Z01.4|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z01.7|MG|0.0|
C|Z01.8|MF|0.0|
C|Z01.9|MG|0.0|
C|Z02.0|MG|0.0|
C|Z02.7|MG|0.0|
C|Z02.9|MG|0.0|
C|Z03.0|MF|0.0|
C|Z03.5|CARDIOLOGIA|1.0|
C|Z03.8|MF|0.0|
C|Z03.9|MF|0.0|
C|Z10.0|MG|0.0|
C|Z10.1|MG|0.0|
C|Z10.3|MG|0.0|
C|Z10.8|MF|0.0|
C|Z12.1|MF|0.0|
C|Z12.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z12.4|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z12.8|MF|0.0|
C|Z13.1|MG|0.0|
C|Z13.3|PSIQUIATRIA|1.0|
